Время,Тип,Путь,IP,Статус,Файлы,Энтропия,IOPS
2026-03-13T19:36:57.968377Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.961645Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.948701Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.946360Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.944176Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.939768Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.933451Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.930932Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.926030Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.918628Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.916613Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.905644Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.898894Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.896288Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.845947Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.843872Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.835466Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.831641Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.827151Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.817983Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.815580Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.812593Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.809034Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.804381Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.799916Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.796700Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.785220Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.782577Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.769235Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.767161Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.763025Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.760085Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.745387Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.743254Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.739363Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.736891Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.733548Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.723874Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.716998Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.713437Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.705524Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.702227Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.695741Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.688345Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.681799Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.675878Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.671871Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.669119Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.666098Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.663723Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.661658Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.657600Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.649824Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.643432Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.635410Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.633294Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.630382Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.628065Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.626187Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.621456Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.618606Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.616111Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.606519Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.599598Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.597276Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.593909Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.588745Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.586952Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.584537Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.581348Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.579520Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.577010Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.573290Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.567128Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.562238Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.551676Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.548359Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.538448Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.536020Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.529344Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.526456Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.518338Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
2026-03-13T19:36:57.515876Z,honeypot,/mnt/data/shares/public,unknown,new,"!~rng_y6yx0nvv.doc",,
